"species","female_max_svl","eggs","tadpoles","ecological_guild","precip"
"Adelotus brevis",38,"aquatic","aquatic","wetland",1408
"Anstisia alba",17,"terrestrial","terrestrial","terrestrial",1050
"Cophixalus ornatus",30,"direct development","direct development","arboreal",2158
"Crinia georgiana",41,"aquatic","aquatic","terrestrial",828
"Crinia glauerti",24,"aquatic","aquatic","terrestrial",842
"Crinia insignifera",29,"aquatic","aquatic","terrestrial",818
"Crinia pseudinsignifera",30,"aquatic","aquatic","terrestrial",692
"Crinia signifera",29,"aquatic","aquatic","terrestrial",897
"Cyclorana alboguttata",83,"aquatic","aquatic","terrestrial",664
"Heleioporus eyrei",63,"terrestrial","aquatic","terrestrial",811
"Limnodynastes peronii",73,"aquatic","aquatic","wetland",1182
"Limnodynastes tasmaniensis",47,"aquatic","aquatic","wetland",713
"Litoria adelaidensis",60,"aquatic","aquatic","wetland",841
"Litoria aurea",108,"aquatic","aquatic","wetland",1095
"Litoria caerulea",110,"aquatic","aquatic","arboreal",1160
"Litoria chloris",68,"aquatic","aquatic","arboreal",1369
"Litoria dayi",60,"aquatic","aquatic","arboreal",2183
"Litoria eucnemis",77,"aquatic","aquatic","arboreal",1337
"Litoria ewingii",46,"aquatic","aquatic","wetland",817
"Litoria fallax",32,"aquatic","aquatic","wetland",1263
"Litoria gracilenta",45,"aquatic","aquatic","arboreal",1456
"Litoria inermis",37,"aquatic","aquatic","terrestrial",1109
"Litoria latopalmata",42,"aquatic","aquatic","terrestrial",946
"Litoria lesueuri",61,"aquatic","aquatic","wetland",1014
"Litoria moorei",78,"aquatic","aquatic","wetland",799
"Litoria nannotis",65,"aquatic","aquatic","wetland",1728
"Litoria nasuta",56,"aquatic","aquatic","terrestrial",1413
"Litoria pearsoniana",37,"aquatic","aquatic","arboreal",1396
"Litoria peronii",70,"aquatic","aquatic","arboreal",1057
"Litoria raniformis",104,"aquatic","aquatic","wetland",545
"Litoria rheocola",38,"aquatic","aquatic","wetland",1923
"Litoria rothii",57,"aquatic","aquatic","arboreal",1465
"Litoria rubella",43,"aquatic","aquatic","arboreal",1023
"Litoria serrata",85,"aquatic","aquatic","arboreal",1846
"Litoria verreauxii",35,"aquatic","aquatic","wetland",1003
"Litoria wilcoxii",69,"aquatic","aquatic","wetland",1005
"Mixophyes fasciolatus",101,"terrestrial","aquatic","wetland",1380
"Mixophyes fleayi",89,"aquatic","aquatic","wetland",1277
"Mixophyes iteratus",115,"terrestrial","aquatic","wetland",1389
"Pseudophryne corroboree",31,"terrestrial","aquatic","terrestrial",1694
"Pseudophryne pengilleyi",27,"terrestrial","aquatic","terrestrial",1268
"Taudactylus eungellensis",36,"aquatic","aquatic","wetland",1233
